,seller_id,buyer_id,product_id,product_price,sold_quantity,quantity_cluster,price_cluster,cluster,order_id
0,1,71,4776,21.0,20.0,dull-product,low-end,dull-product;low-end,1-71
1,1,121,2837,23.0,83.0,dull-product,low-end,dull-product;low-end,1-121
2,1,554,3248,21.0,44.0,dull-product,low-end,dull-product;low-end,1-554
3,1,573,2852,27.0,29.0,dull-product,low-end,dull-product;low-end,1-573
4,1,573,4114,25.0,105.0,normal-product,low-end,normal-product;low-end,1-573
5,1,573,4488,25.0,209.0,normal-product,low-end,normal-product;low-end,1-573
6,1,573,4518,21.0,14.0,dull-product,low-end,dull-product;low-end,1-573
7,1,615,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-615
8,1,644,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-644
9,1,678,2495,21.0,93.0,normal-product,low-end,normal-product;low-end,1-678
10,1,678,4542,26.0,8.0,dull-product,low-end,dull-product;low-end,1-678
11,1,701,4521,21.0,5.0,dull-product,low-end,dull-product;low-end,1-701
12,1,711,3237,28.0,110.0,normal-product,low-end,normal-product;low-end,1-711
13,1,735,3237,28.0,110.0,normal-product,low-end,normal-product;low-end,1-735
14,1,785,2586,21.0,33.0,dull-product,low-end,dull-product;low-end,1-785
15,1,795,2611,21.0,83.0,dull-product,low-end,dull-product;low-end,1-795
16,1,795,2912,26.0,57.0,dull-product,low-end,dull-product;low-end,1-795
17,1,804,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-804
18,1,804,2864,26.0,72.0,dull-product,low-end,dull-product;low-end,1-804
19,1,806,2583,21.0,44.0,dull-product,low-end,dull-product;low-end,1-806
20,1,806,4482,25.0,220.0,normal-product,low-end,normal-product;low-end,1-806
21,1,810,2495,21.0,93.0,normal-product,low-end,normal-product;low-end,1-810
22,1,810,4542,26.0,8.0,dull-product,low-end,dull-product;low-end,1-810
23,1,818,4518,21.0,14.0,dull-product,low-end,dull-product;low-end,1-818
24,1,860,2837,23.0,83.0,dull-product,low-end,dull-product;low-end,1-860
25,1,860,4482,25.0,220.0,normal-product,low-end,normal-product;low-end,1-860
26,1,883,2495,21.0,93.0,normal-product,low-end,normal-product;low-end,1-883
27,1,883,4353,21.0,103.0,normal-product,low-end,normal-product;low-end,1-883
28,1,901,4488,25.0,209.0,normal-product,low-end,normal-product;low-end,1-901
29,1,911,4127,21.0,180.0,normal-product,low-end,normal-product;low-end,1-911
30,1,942,3035,60.0,125.0,normal-product,middle-end,normal-product;middle-end,1-942
31,1,996,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-996
32,1,996,2611,21.0,83.0,dull-product,low-end,dull-product;low-end,1-996
33,1,1045,3360,21.0,59.0,dull-product,low-end,dull-product;low-end,1-1045
34,1,1047,2581,26.0,31.0,dull-product,low-end,dull-product;low-end,1-1047
35,1,1047,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-1047
36,1,1054,4112,21.0,58.0,dull-product,low-end,dull-product;low-end,1-1054
37,1,1054,4353,21.0,103.0,normal-product,low-end,normal-product;low-end,1-1054
38,1,1079,2915,38.0,153.0,normal-product,low-end,normal-product;low-end,1-1079
39,1,1084,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-1084
40,1,1095,3135,35.0,154.0,normal-product,low-end,normal-product;low-end,1-1095
41,1,1110,2837,23.0,83.0,dull-product,low-end,dull-product;low-end,1-1110
42,1,1110,4162,22.0,27.0,dull-product,low-end,dull-product;low-end,1-1110
43,1,1160,2912,26.0,57.0,dull-product,low-end,dull-product;low-end,1-1160
44,1,1172,4114,21.0,105.0,normal-product,low-end,normal-product;low-end,1-1172
45,1,1239,4492,25.0,67.0,dull-product,low-end,dull-product;low-end,1-1239
46,1,1312,3237,28.0,110.0,normal-product,low-end,normal-product;low-end,1-1312
47,1,1312,3360,21.0,59.0,dull-product,low-end,dull-product;low-end,1-1312
48,1,1337,3102,32.0,90.0,normal-product,low-end,normal-product;low-end,1-1337
49,1,1344,2915,38.0,153.0,normal-product,low-end,normal-product;low-end,1-1344
50,1,1392,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-1392
51,1,1398,4024,25.0,249.0,normal-product,low-end,normal-product;low-end,1-1398
52,1,1434,4488,25.0,209.0,normal-product,low-end,normal-product;low-end,1-1434
53,1,1485,4127,25.0,180.0,normal-product,low-end,normal-product;low-end,1-1485
54,1,1502,2611,21.0,83.0,dull-product,low-end,dull-product;low-end,1-1502
55,1,1502,4488,25.0,209.0,normal-product,low-end,normal-product;low-end,1-1502
56,1,1513,2611,21.0,83.0,dull-product,low-end,dull-product;low-end,1-1513
57,1,1518,3135,35.0,154.0,normal-product,low-end,normal-product;low-end,1-1518
58,1,1535,4353,21.0,103.0,normal-product,low-end,normal-product;low-end,1-1535
59,1,1637,2915,38.0,153.0,normal-product,low-end,normal-product;low-end,1-1637
60,1,1637,3237,28.0,110.0,normal-product,low-end,normal-product;low-end,1-1637
61,1,1648,3237,28.0,110.0,normal-product,low-end,normal-product;low-end,1-1648
62,1,1762,2837,23.0,83.0,dull-product,low-end,dull-product;low-end,1-1762
63,1,1840,2837,23.0,83.0,dull-product,low-end,dull-product;low-end,1-1840
64,1,1840,2844,35.0,42.0,dull-product,low-end,dull-product;low-end,1-1840
65,1,1840,4112,25.0,58.0,dull-product,low-end,dull-product;low-end,1-1840
66,1,1937,2611,21.0,83.0,dull-product,low-end,dull-product;low-end,1-1937
67,1,1937,2848,22.0,124.0,normal-product,low-end,normal-product;low-end,1-1937
68,1,1937,4079,29.0,80.0,dull-product,low-end,dull-product;low-end,1-1937
69,1,1960,3135,35.0,154.0,normal-product,low-end,normal-product;low-end,1-1960
70,1,1974,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-1974
71,1,1974,4114,25.0,105.0,normal-product,low-end,normal-product;low-end,1-1974
72,1,2019,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-2019
73,1,2233,2583,21.0,44.0,dull-product,low-end,dull-product;low-end,1-2233
74,1,2257,2837,23.0,83.0,dull-product,low-end,dull-product;low-end,1-2257
75,1,2259,2864,26.0,72.0,dull-product,low-end,dull-product;low-end,1-2259
76,1,2259,3237,28.0,110.0,normal-product,low-end,normal-product;low-end,1-2259
77,1,2423,3360,21.0,59.0,dull-product,low-end,dull-product;low-end,1-2423
78,1,2441,4024,25.0,249.0,normal-product,low-end,normal-product;low-end,1-2441
79,1,2473,3135,35.0,154.0,normal-product,low-end,normal-product;low-end,1-2473
80,1,2478,2486,26.0,76.0,dull-product,low-end,dull-product;low-end,1-2478
81,1,2478,3237,28.0,110.0,normal-product,low-end,normal-product;low-end,1-2478
82,1,2478,4228,26.0,2.0,dull-product,low-end,dull-product;low-end,1-2478
83,1,2489,2611,21.0,83.0,dull-product,low-end,dull-product;low-end,1-2489
84,1,2507,4079,29.0,80.0,dull-product,low-end,dull-product;low-end,1-2507
85,1,2507,4353,21.0,103.0,normal-product,low-end,normal-product;low-end,1-2507
86,1,2527,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-2527
87,1,2567,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-2567
88,1,2601,2848,22.0,124.0,normal-product,low-end,normal-product;low-end,1-2601
89,1,2674,4482,25.0,220.0,normal-product,low-end,normal-product;low-end,1-2674
90,1,2676,2581,26.0,31.0,dull-product,low-end,dull-product;low-end,1-2676
91,1,2676,2848,22.0,124.0,normal-product,low-end,normal-product;low-end,1-2676
92,1,2676,4114,21.0,105.0,normal-product,low-end,normal-product;low-end,1-2676
93,1,2861,4353,21.0,103.0,normal-product,low-end,normal-product;low-end,1-2861
94,1,2953,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-2953
95,1,2955,4482,25.0,220.0,normal-product,low-end,normal-product;low-end,1-2955
96,1,3023,4523,32.0,51.0,dull-product,low-end,dull-product;low-end,1-3023
97,1,3023,4776,21.0,20.0,dull-product,low-end,dull-product;low-end,1-3023
98,1,3117,2863,38.0,175.0,normal-product,low-end,normal-product;low-end,1-3117
99,1,3179,3237,28.0,110.0,normal-product,low-end,normal-product;low-end,1-3179
100,1,3257,4776,21.0,20.0,dull-product,low-end,dull-product;low-end,1-3257
101,1,3319,2495,21.0,93.0,normal-product,low-end,normal-product;low-end,1-3319
102,1,3319,4353,21.0,103.0,normal-product,low-end,normal-product;low-end,1-3319
103,1,3369,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-3369
104,1,3391,4127,21.0,180.0,normal-product,low-end,normal-product;low-end,1-3391
105,1,3442,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-3442
106,1,3459,2583,21.0,44.0,dull-product,low-end,dull-product;low-end,1-3459
107,1,3459,4482,25.0,220.0,normal-product,low-end,normal-product;low-end,1-3459
108,1,3515,4024,25.0,249.0,normal-product,low-end,normal-product;low-end,1-3515
109,1,3607,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-3607
110,1,3612,4024,25.0,249.0,normal-product,low-end,normal-product;low-end,1-3612
111,1,3655,4127,21.0,180.0,normal-product,low-end,normal-product;low-end,1-3655
112,1,3664,2848,22.0,124.0,normal-product,low-end,normal-product;low-end,1-3664
113,1,3668,4492,25.0,67.0,dull-product,low-end,dull-product;low-end,1-3668
114,1,3698,2486,26.0,76.0,dull-product,low-end,dull-product;low-end,1-3698
115,1,3698,2587,28.0,808.0,well-seller,low-end,well-seller;low-end,1-3698
116,1,3698,2611,21.0,83.0,dull-product,low-end,dull-product;low-end,1-3698
117,1,3698,2844,35.0,42.0,dull-product,low-end,dull-product;low-end,1-3698
118,1,3698,2852,27.0,29.0,dull-product,low-end,dull-product;low-end,1-3698
119,1,3698,2912,26.0,57.0,dull-product,low-end,dull-product;low-end,1-3698
120,1,3698,3135,35.0,154.0,normal-product,low-end,normal-product;low-end,1-3698
121,1,3698,3237,28.0,110.0,normal-product,low-end,normal-product;low-end,1-3698
122,1,3698,4114,21.0,105.0,normal-product,low-end,normal-product;low-end,1-3698
123,1,3698,4353,21.0,103.0,normal-product,low-end,normal-product;low-end,1-3698
124,1,3698,4518,21.0,14.0,dull-product,low-end,dull-product;low-end,1-3698
